epoch,step,valid_loss,MultilabelAccuracy,MultilabelExactMatch,MultilabelAveragePrecision
0,128,0.1230586394667625,0.9652584791183472,0.0077821011655032,0.0480385944247245
1,257,0.0931402668356895,0.975764274597168,0.0194552522152662,0.050299759954214
2,563,0.0610080622136592,0.9818698167800904,0.0378937013447284,0.0354332216084003
3,751,0.0568073354661464,0.9829853177070618,0.0431430451571941,0.0403917841613292
4,939,0.0543865785002708,0.9836215972900392,0.0424868762493133,0.0457816459238529
5,1127,0.0527707748115062,0.9835501313209534,0.0521653555333614,0.0503460504114627
6,1315,0.050433225929737,0.9845085740089417,0.0544619411230087,0.0565962456166744
7,1503,0.0500634610652923,0.9845542907714844,0.0577427819371223,0.0603424049913883
8,1691,0.0492565967142581,0.984721839427948,0.056430447846651,0.0658514276146888
9,1879,0.0493099018931388,0.9845824241638184,0.0744750648736953,0.0719196945428848
10,2067,0.0481896735727787,0.9848260879516602,0.0784120708703994,0.0736489295959472
11,2255,0.0476353354752063,0.9849878549575806,0.065452754497528,0.0768288895487785
12,2443,0.0474382676184177,0.9847276210784912,0.081200785934925,0.0809720158576965
13,2631,0.0460510142147541,0.985341727733612,0.0784120708703994,0.0878872573375701
14,2819,0.0461770854890346,0.985210418701172,0.0756233632564544,0.0928459838032722
15,3007,0.0459737814962863,0.9852678775787354,0.0710301846265792,0.0975426658987999
16,3195,0.0463398545980453,0.9852362275123596,0.0907152220606803,0.1010679528117179
17,3383,0.0455379299819469,0.9854225516319276,0.0915354341268539,0.10211181640625
18,3571,0.0452085584402084,0.9853698015213012,0.078248031437397,0.1036035865545272
19,3759,0.045341495424509,0.9851377606391908,0.0941601023077964,0.1066723838448524
20,3947,0.0441426709294319,0.9857131242752076,0.0900590568780899,0.1138463988900184
21,4135,0.0443287380039691,0.985592484474182,0.0871063023805618,0.1150448992848396
22,4323,0.044307917356491,0.9854741096496582,0.0818569585680961,0.118209071457386
23,4511,0.0447771586477756,0.9855045080184937,0.0995734930038452,0.1198906376957893
24,4699,0.0440745316445827,0.9855690002441406,0.093503937125206,0.1227916479110717
25,4887,0.0438052639365196,0.9856345653533936,0.0866141766309738,0.1224091202020645
26,5075,0.0440959930419921,0.9852901101112366,0.1020341217517852,0.1236605122685432
27,5263,0.0429755821824073,0.985917031764984,0.0971128642559051,0.1306881308555603
28,5451,0.0439862310886383,0.9856217503547668,0.1030183732509613,0.1305953860282898
29,5639,0.043337270617485,0.9856849312782288,0.0992454066872596,0.1343922317028045
30,5827,0.0430901832878589,0.9857470989227296,0.0902230963110923,0.1322276443243026
31,6015,0.0434487462043762,0.9853381514549256,0.1072834655642509,0.1342766880989074
32,6203,0.042364090681076,0.9859638214111328,0.1025262475013732,0.1405288577079773
33,6391,0.0425441972911357,0.9858431816101074,0.0989173203706741,0.140997976064682
34,6579,0.042640246450901,0.9857236742973328,0.0920275598764419,0.1452837586402893
35,6767,0.0431670024991035,0.985663890838623,0.1077755913138389,0.1424460858106613
36,6955,0.0425652079284191,0.9858338236808776,0.1038385853171348,0.148552805185318
37,7143,0.0423261001706123,0.9858607649803162,0.0951443538069725,0.1440276652574539
38,7331,0.0427439995110034,0.985404908657074,0.1095800548791885,0.1483896821737289
39,7519,0.0416923016309738,0.9860880374908448,0.1064632534980773,0.156086578965187
40,7707,0.041859533637762,0.9859569072723388,0.1036745384335517,0.1530825048685073
41,7895,0.0425978265702724,0.9857505559921264,0.1089238822460174,0.1519641727209091
42,8083,0.0420369543135166,0.9858993887901306,0.1043307110667228,0.1621565669775009
43,8271,0.0418048314750194,0.9859404563903807,0.0985892415046691,0.152570828795433
44,8459,0.0422550365328788,0.9854506254196168,0.1118766367435455,0.1601393371820449
45,8647,0.0412268117070198,0.9861571788787842,0.1089238822460174,0.1671898066997528
46,8835,0.0413836874067783,0.986028254032135,0.1066272929310798,0.164456307888031
47,9023,0.0415270328521728,0.9858736991882324,0.0966207385063171,0.1695678830146789
48,9211,0.0420436225831508,0.9858314394950868,0.111220471560955,0.1648011654615402
49,9399,0.0415379740297794,0.9859931468963624,0.1074475049972534,0.1745327860116958
50,9587,0.041305087506771,0.9859462976455688,0.1005577445030212,0.1631392240524292
51,9775,0.0417799726128578,0.9855021834373474,0.1118766367435455,0.1721445173025131
52,9963,0.0407745279371738,0.9862662553787231,0.1125328093767166,0.1793193370103836
53,10151,0.0409203618764877,0.9861267805099488,0.1100721806287765,0.1747200489044189
